failure_year,mean_delay,std_delay,mean_cost
2050.0,0.027777777777373558,0.031056499687384092,1204337419543.973
2050.8333333333335,0.01944444444416149,0.036851386559370376,1204160409715.5725
2051.6666666666665,0.011111111110949423,0.040157867485412134,1204084242621.726
2052.5,0.016666666666424135,0.038188130791159736,1204036897114.1274
2053.3333333333335,0.008333333333212067,0.040824829046237784,1204037215660.665
2054.1666666666665,0.011111111110949423,0.04015786748541214,1204097277202.1052
2055.0833333333335,0.016666666666424135,0.038188130791159736,1204137100625.9973
2055.9166666666665,0.005555555555474712,0.041294635409067845,1203873891099.816
2056.75,0.013888888888686779,0.03928371006577639,1203870020978.5774
2057.5833333333335,0.013888888888686779,0.03928371006577639,1203701424832.454
2058.4166666666665,0.01944444444416149,0.036851386559370376,1203934847076.6
2059.25,0.01944444444416149,0.036851386559370376,1203946380232.3562
2060.1666666666665,0.01944444444416149,0.036851386559370376,1203950623573.617
2061.0,0.01944444444416149,0.036851386559370376,1203955517445.2004
2061.8333333333335,0.01944444444416149,0.036851386559370376,1203959941892.9297
2062.6666666666665,0.01944444444416149,0.036851386559370376,1203959533075.9438
2063.5,0.01944444444416149,0.036851386559370376,1203967835583.0557
2064.3333333333335,0.01944444444416149,0.036851386559370376,1203971925479.2896
2065.25,0.01944444444416149,0.036851386559370376,1203973982295.6765
2066.0833333333335,0.01944444444416149,0.036851386559370376,1203976494536.6794
2066.9166666666665,0.01944444444416149,0.036851386559370376,1203975702322.2976
2067.75,0.01944444444416149,0.036851386559370376,1203981586823.5178
2068.5833333333335,0.01944444444416149,0.036851386559370376,1203977364849.7537
2069.4166666666665,0.01944444444416149,0.036851386559370376,1203982626919.281
2070.3333333333335,0.01944444444416149,0.036851386559370376,1203980233046.9927
